File name,Light to dark pixel ratio
OneView_200kV_10kX_FGT_A1_0046_156K_2.25um.png,0.697
OneView_200kV_10kX_FGT_A1_0010_017K_2.25um_NoField.png,0.917
OneView_200kV_10kX_FGT_A1_0019_037K_2.25um.png,0.999
OneView_200kV_10kX_FGT_A1_0036_103K_2.25um.png,0.843
OneView_200kV_10kX_FGT_A1_0040_130K_2.25um.png,0.828
OneView_200kV_10kX_FGT_A1_0038_124K_2.25um.png,0.822
OneView_200kV_10kX_FGT_A1_0029_061K_2.25um.png,0.904
OneView_200kV_10kX_FGT_A1_0009_018K_2.25um_NoField_NoDefocus.png,3.523
OneView_200kV_10kX_FGT_A1_0012_019K_2.25um.png,0.911
OneView_200kV_10kX_FGT_A1_0032_080K_2.25um.png,0.871
OneView_200kV_10kX_FGT_A1_0042_140K_2.25um.png,0.719
