File name,Temperature (K),Light pixel to total pixel ratio
OneView_200kV_10kX_FGT_A1_0046_156K_2.25um.png,156,0.457
OneView_200kV_10kX_FGT_A1_0010_017K_2.25um_NoField.png,17,0.522
OneView_200kV_10kX_FGT_A1_0019_037K_2.25um.png,37,0.52
OneView_200kV_10kX_FGT_A1_0036_103K_2.25um.png,103,0.511
OneView_200kV_10kX_FGT_A1_0040_130K_2.25um.png,130,0.5
OneView_200kV_10kX_FGT_A1_0038_124K_2.25um.png,124,0.499
OneView_200kV_10kX_FGT_A1_0029_061K_2.25um.png,61,0.517
OneView_200kV_10kX_FGT_A1_0012_019K_2.25um.png,19,0.526
OneView_200kV_10kX_FGT_A1_0032_080K_2.25um.png,80,0.511
OneView_200kV_10kX_FGT_A1_0042_140K_2.25um.png,140,0.474
